air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,168,138,93
air_force_blue_usaf,Air Force Blue (Usaf),#00308f,143,48,0
air_superiority_blue,Air Superiority Blue,#72a0c1,193,160,114
alabama_crimson,Alabama Crimson,#a32638,56,38,163
alice_blue,Alice Blue,#f0f8ff,255,248,240
alizarin_crimson,Alizarin Crimson,#e32636,54,38,227
alloy_orange,Alloy Orange,#c46210,16,98,196
almond,Almond,#efdecd,205,222,239
amaranth,Amaranth,#e52b50,80,43,229
amber,Amber,#ffbf00,0,191,255
amber_sae_ece,Amber (Sae/Ece),#ff7e00,0,126,255
american_rose,American Rose,#ff033e,62,3,255
amethyst,Amethyst,#96c,204,102,153
android_green,Android Green,#a4c639,57,198,164
anti_flash_white,Anti-Flash White,#f2f3f4,244,243,242
antique_brass,Antique Brass,#cd9575,117,149,205
antique_fuchsia,Antique Fuchsia,#915c83,131,92,145
antique_ruby,Antique Ruby,#841b2d,45,27,132
antique_white,Antique White,#faebd7,215,235,250
ao_english,Ao (English),#008000,0,128,0
apple_green,Apple Green,#8db600,0,182,141
apricot,Apricot,#fbceb1,177,206,251
aqua,Aqua,#0ff,255,255,0
aquamarine,Aquamarine,#7fffd4,212,255,127
army_green,Army Green,#4b5320,32,83,75
arsenic,Arsenic,#3b444b,75,68,59
arylide_yellow,Arylide Yellow,#e9d66b,107,214,233
ash_grey,Ash Grey,#b2beb5,181,190,178
asparagus,Asparagus,#87a96b,107,169,135
atomic_tangerine,Atomic Tangerine,#f96,102,153,255
auburn,Auburn,#a52a2a,42,42,165
aureolin,Aureolin,#fdee00,0,238,253
aurometalsaurus,Aurometalsaurus,#6e7f80,128,127,110
avocado,Avocado,#568203,3,130,86
azure,Azure,#007fff,255,127,0
azure_mist_web,Azure Mist/Web,#f0ffff,255,255,240
baby_blue,Baby Blue,#89cff0,240,207,137
baby_blue_eyes,Baby Blue Eyes,#a1caf1,241,202,161
baby_pink,Baby Pink,#f4c2c2,194,194,244
ball_blue,Ball Blue,#21abcd,205,171,33
banana_mania,Banana Mania,#fae7b5,181,231,250
banana_yellow,Banana Yellow,#ffe135,53,225,255
barn_red,Barn Red,#7c0a02,2,10,124
battleship_grey,Battleship Grey,#848482,130,132,132
bazaar,Bazaar,#98777b,123,119,152
beau_blue,Beau Blue,#bcd4e6,230,212,188
beaver,Beaver,#9f8170,112,129,159
beige,Beige,#f5f5dc,220,245,245
big_dip_o_ruby,Big Dip O’Ruby,#9c2542,66,37,156
bisque,Bisque,#ffe4c4,196,228,255
bistre,Bistre,#3d2b1f,31,43,61
bittersweet,Bittersweet,#fe6f5e,94,111,254
bittersweet_shimmer,Bittersweet Shimmer,#bf4f51,81,79,191
black,Black,#000,0,0,0
black_bean,Black Bean,#3d0c02,2,12,61
black_leather_jacket,Black Leather Jacket,#253529,41,53,37
black_olive,Black Olive,#3b3c36,54,60,59
blanched_almond,Blanched Almond,#ffebcd,205,235,255
blast_off_bronze,Blast-Off Bronze,#a57164,100,113,165
bleu_de_france,Bleu De France,#318ce7,231,140,49
blizzard_blue,Blizzard Blue,#ace5ee,238,229,172
blond,Blond,#faf0be,190,240,250
blue,Blue,#00f,255,0,0
blue_bell,Blue Bell,#a2a2d0,208,162,162
blue_crayola,Blue (Crayola),#1f75fe,254,117,31
blue_gray,Blue Gray,#69c,204,153,102
blue_green,Blue-Green,#0d98ba,186,152,13
blue_munsell,Blue (Munsell),#0093af,175,147,0
blue_ncs,Blue (Ncs),#0087bd,189,135,0
blue_pigment,Blue (Pigment),#339,153,51,51
blue_ryb,Blue (Ryb),#0247fe,254,71,2
blue_sapphire,Blue Sapphire,#126180,128,97,18
blue_violet,Blue-Violet,#8a2be2,226,43,138
blush,Blush,#de5d83,131,93,222
bole,Bole,#79443b,59,68,121
bondi_blue,Bondi Blue,#0095b6,182,149,0
bone,Bone,#e3dac9,201,218,227
boston_university_red,Boston University Red,#c00,0,0,204
bottle_green,Bottle Green,#006a4e,78,106,0
boysenberry,Boysenberry,#873260,96,50,135
brandeis_blue,Brandeis Blue,#0070ff,255,112,0
brass,Brass,#b5a642,66,166,181
brick_red,Brick Red,#cb4154,84,65,203
bright_cerulean,Bright Cerulean,#1dacd6,214,172,29
bright_green,Bright Green,#6f0,0,255,102
